year,circuitRef,circuitId,name,country,location,lat,lng,url
2010,1,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2010,2,bahrain,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2010,3,catalunya,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2010,4,hockenheimring,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
2010,5,hungaroring,Hungaroring,Hungary,Budapest,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
2010,6,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2010,7,istanbul,Istanbul Park,Turkey,Istanbul,40.9517,29.405,http://en.wikipedia.org/wiki/Istanbul_Park
2010,8,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2010,9,monaco,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2010,10,monza,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2010,11,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2.76083,101.738,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2010,12,shanghai,Shanghai International Circuit,China,Shanghai,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2010,13,silverstone,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
2010,14,spa,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2010,15,suzuka,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
2010,16,valencia,Valencia Street Circuit,Spain,Valencia,39.4589,-0.331667,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
2010,17,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2010,18,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2010,19,yeongam,Korean International Circuit,Korea,Yeongam County,34.7333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
2011,20,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2011,21,buddh,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,http://en.wikipedia.org/wiki/Buddh_International_Circuit
2011,22,catalunya,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2011,23,hungaroring,Hungaroring,Hungary,Budapest,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
2011,24,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2011,25,istanbul,Istanbul Park,Turkey,Istanbul,40.9517,29.405,http://en.wikipedia.org/wiki/Istanbul_Park
2011,26,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2011,27,monaco,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2011,28,monza,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2011,29,nurburgring,Nürburgring,Germany,Nürburg,50.3356,6.9475,http://en.wikipedia.org/wiki/N%C3%BCrburgring
2011,30,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2.76083,101.738,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2011,31,shanghai,Shanghai International Circuit,China,Shanghai,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2011,32,silverstone,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
2011,33,spa,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2011,34,suzuka,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,http://en.wikipedia.org/wiki/Suzuka_Circuit
2011,35,valencia,Valencia Street Circuit,Spain,Valencia,39.4589,-0.331667,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
2011,36,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2011,37,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2011,38,yeongam,Korean International Circuit,Korea,Yeongam County,34.7333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
2012,39,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2012,40,americas,Circuit of the Americas,USA,Austin,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
2012,41,bahrain,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2012,42,buddh,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,http://en.wikipedia.org/wiki/Buddh_International_Circuit
2012,43,catalunya,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2012,44,hockenheimring,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring
2012,45,hungaroring,Hungaroring,Hungary,Budapest,47.5789,19.2486,http://en.wikipedia.org/wiki/Hungaroring
2012,46,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2012,47,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2012,48,monaco,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2012,49,monza,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2012,50,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2.76083,101.738,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2012,51,shanghai,Shanghai International Circuit,China,Shanghai,31.3389,121.22,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2012,52,silverstone,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,http://en.wikipedia.org/wiki/Silverstone_Circuit
