year,driverStandingsId,driverId,points,position,positionText,wins
2010,1,vettel,256,1,1,5
2010,2,alonso,252,2,2,5
2010,3,webber,242,3,3,4
2010,4,hamilton,240,4,4,3
2010,5,button,214,5,5,2
2010,6,massa,144,6,6,0
2010,7,rosberg,142,7,7,0
2010,8,kubica,136,8,8,0
2010,9,michael_schumacher,72,9,9,0
2010,10,barrichello,47,10,10,0
2010,11,sutil,47,11,11,0
2010,12,kobayashi,32,12,12,0
2010,13,petrov,27,13,13,0
2010,14,hulkenberg,22,14,14,0
2010,15,liuzzi,21,15,15,0
2010,16,buemi,8,16,16,0
2010,17,rosa,6,17,17,0
2010,18,heidfeld,6,18,18,0
2010,19,alguersuari,5,19,19,0
2010,20,kovalainen,0,20,20,0
2010,21,trulli,0,21,21,0
2010,22,chandhok,0,22,22,0
2010,23,bruno_senna,0,23,23,0
2010,24,grassi,0,24,24,0
2010,25,glock,0,25,25,0
2010,26,yamamoto,0,26,26,0
2010,27,klien,0,27,27,0
2011,28,vettel,392,1,1,11
2011,29,button,270,2,2,3
2011,30,webber,258,3,3,1
2011,31,alonso,257,4,4,1
2011,32,hamilton,227,5,5,3
2011,33,massa,118,6,6,0
2011,34,rosberg,89,7,7,0
2011,35,michael_schumacher,76,8,8,0
2011,36,sutil,42,9,9,0
2011,37,petrov,37,10,10,0
2011,38,heidfeld,34,11,11,0
2011,39,kobayashi,30,12,12,0
2011,40,resta,27,13,13,0
2011,41,alguersuari,26,14,14,0
2011,42,buemi,15,15,15,0
2011,43,perez,14,16,16,0
2011,44,barrichello,4,17,17,0
2011,45,bruno_senna,2,18,18,0
2011,46,maldonado,1,19,19,0
2011,47,rosa,0,20,20,0
2011,48,trulli,0,21,21,0
2011,49,kovalainen,0,22,22,0
2011,50,liuzzi,0,23,23,0
2011,51,ambrosio,0,24,24,0
2011,52,glock,0,25,25,0
2011,53,karthikeyan,0,26,26,0
2011,54,ricciardo,0,27,27,0
2011,55,chandhok,0,28,28,0
2012,56,vettel,281,1,1,5
2012,57,alonso,278,2,2,3
2012,58,raikkonen,207,3,3,1
2012,59,hamilton,190,4,4,4
2012,60,button,188,5,5,3
2012,61,webber,179,6,6,2
2012,62,massa,122,7,7,0
2012,63,grosjean,96,8,8,0
2012,64,rosberg,93,9,9,1
2012,65,perez,66,10,10,0
2012,66,hulkenberg,63,11,11,0
2012,67,kobayashi,60,12,12,0
2012,68,michael_schumacher,49,13,13,0
2012,69,resta,46,14,14,0
2012,70,maldonado,45,15,15,1
2012,71,bruno_senna,31,16,16,0
2012,72,vergne,16,17,17,0
2012,73,ricciardo,10,18,18,0
2012,74,petrov,0,19,19,0
2012,75,glock,0,20,20,0
2012,76,pic,0,21,21,0
2012,77,kovalainen,0,22,22,0
2012,78,ambrosio,0,23,23,0
2012,79,karthikeyan,0,24,24,0
2012,80,rosa,0,25,25,0
2013,81,vettel,397,1,1,13
2013,82,alonso,242,2,2,2
2013,83,webber,199,3,3,0
2013,84,hamilton,189,4,4,1
2013,85,raikkonen,183,5,5,1
2013,86,rosberg,171,6,6,2
2013,87,grosjean,132,7,7,0
2013,88,massa,112,8,8,0
2013,89,button,73,9,9,0
2013,90,hulkenberg,51,10,10,0
2013,91,perez,49,11,11,0
2013,92,resta,48,12,12,0
2013,93,sutil,29,13,13,0
2013,94,ricciardo,20,14,14,0
2013,95,vergne,13,15,15,0
2013,96,gutierrez,6,16,16,0
2013,97,bottas,4,17,17,0
2013,98,maldonado,1,18,18,0
2013,99,jules_bianchi,0,19,19,0
2013,100,pic,0,20,20,0
2013,101,garde,0,21,21,0
2013,102,kovalainen,0,22,22,0
2013,103,chilton,0,23,23,0
2014,104,hamilton,384,1,1,11
2014,105,rosberg,317,2,2,5
2014,106,ricciardo,238,3,3,3
2014,107,bottas,186,4,4,0
2014,108,vettel,167,5,5,0
2014,109,alonso,161,6,6,0
2014,110,massa,134,7,7,0
2014,111,button,126,8,8,0
2014,112,hulkenberg,96,9,9,0
2014,113,perez,59,10,10,0
2014,114,kevin_magnussen,55,11,11,0
2014,115,raikkonen,55,12,12,0
2014,116,vergne,22,13,13,0
2014,117,grosjean,8,14,14,0
2014,118,kvyat,8,15,15,0
2014,119,maldonado,2,16,16,0
2014,120,jules_bianchi,2,17,17,0
2014,121,sutil,0,18,18,0
2014,122,ericsson,0,19,19,0
2014,123,gutierrez,0,20,20,0
2014,124,chilton,0,21,21,0
2014,125,kobayashi,0,22,22,0
2014,126,stevens,0,23,23,0
2014,127,lotterer,0,24,24,0
2015,128,hamilton,381,1,1,10
2015,129,rosberg,322,2,2,6
2015,130,vettel,278,3,3,3
2015,131,raikkonen,150,4,4,0
2015,132,bottas,136,5,5,0
2015,133,massa,121,6,6,0
2015,134,kvyat,95,7,7,0
2015,135,ricciardo,92,8,8,0
2015,136,perez,78,9,9,0
2015,137,hulkenberg,58,10,10,0
