year,resultsId,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,statusId
2010,1,Bahrain Grand Prix,alonso,ferrari,8,3,1,1,25.0,49,1:39:20.396,5960396,45,1,1:58.287,Finished
2010,2,Bahrain Grand Prix,massa,ferrari,7,2,2,2,18.0,49,+16.099,5976495,38,5,1:59.732,Finished
2010,3,Bahrain Grand Prix,hamilton,mclaren,2,4,3,3,15.0,49,+23.182,5983578,42,4,1:59.560,Finished
2010,4,Bahrain Grand Prix,vettel,red_bull,5,1,4,4,12.0,49,+38.799,5999195,32,12,2:00.218,Finished
2010,5,Bahrain Grand Prix,rosberg,mercedes,4,5,5,5,10.0,49,+40.213,6000609,45,13,2:00.236,Finished
2010,6,Bahrain Grand Prix,michael_schumacher,mercedes,3,7,6,6,8.0,49,+44.163,6004559,45,11,2:00.204,Finished
2010,7,Bahrain Grand Prix,button,mclaren,1,8,7,7,6.0,49,+45.280,6005676,45,9,1:59.970,Finished
2010,8,Bahrain Grand Prix,webber,red_bull,6,6,8,8,4.0,49,+46.360,6006756,45,3,1:59.487,Finished
2010,9,Bahrain Grand Prix,liuzzi,force_india,15,12,9,9,2.0,49,+53.008,6013404,39,7,1:59.906,Finished
2010,10,Bahrain Grand Prix,barrichello,williams,9,11,10,10,1.0,49,+1:02.489,6022885,47,6,1:59.833,Finished
2010,11,Bahrain Grand Prix,kubica,renault,11,9,11,11,0.0,49,+1:09.093,6029489,33,14,2:00.474,Finished
2010,12,Bahrain Grand Prix,sutil,force_india,14,10,12,12,0.0,49,+1:22.958,6043354,49,2,1:59.393,Finished
2010,13,Bahrain Grand Prix,alguersuari,toro_rosso,17,18,13,13,0.0,49,+1:32.656,6053052,28,8,1:59.964,Finished
2010,14,Bahrain Grand Prix,hulkenberg,williams,10,13,14,14,0.0,48,,,34,15,2:01.401,+1 Lap
2010,15,Bahrain Grand Prix,kovalainen,lotus_racing,19,21,15,15,0.0,47,,,47,17,2:02.701,+2 Laps
2010,16,Bahrain Grand Prix,buemi,toro_rosso,16,15,16,16,0.0,46,,,41,10,2:00.080,Electrical
